,time,O,C,H,L,volume,amount,r_1,r_5,r_10,k,rsi,x_1,x_2,y_pred
465,2018-06-21 09:31:00,5107.147,4970.747,5154.853,4958.634,16209.0,16471032360.0,0.01951074959156024,-0.001351909481613177,-0.019254450085671376,14.56700837,15.90838666,-1.8976894389787,-2.4480217833341733,0.007792935784035809
466,2018-06-22 09:31:00,4957.818,5067.73,5083.814,4924.061,16040.0,16201935760.0,-0.015375917817247441,0.015502207102588459,-0.03279673542197393,15.00399813,25.65241382,-1.8769137899027464,-1.7607474601106845,0.005764375707351138
467,2018-06-25 09:31:00,5094.042,4989.809,5115.5059999999985,4989.809,13378.0,13618196240.0,0.012513705434416388,0.013193090156356713,0.01038456582205852,13.81437647,23.22039581,-1.9334715502981232,-1.9322847007653057,0.00627068532244709
468,2018-06-26 09:31:00,4972.884,5052.25,5093.481,4960.3279999999995,15917.0,16115859200.0,-0.01840249393834433,0.009822158444257469,0.0024333712702261107,14.31776738,29.26593503,-1.9095390149128888,-1.5058753930200517,0.005012094874950495
469,2018-06-27 09:31:00,5056.826,4959.276,5109.826,4953.651,16527.0,16754779840.0,0.0009580027407226787,0.016293507358735446,-0.0004966450748052211,12.73390954,25.85566291,-1.9848398061031398,-1.7464117159176706,0.005722062300088787
470,2018-06-28 09:31:00,4964.27,4964.027,5075.6179999999995,4944.15,15993.0,16122419360.0,0.03671696386824652,-0.017926775982483673,0.033138417659694434,11.52228804,26.34904195,-2.042443497084092,-1.7116122700375695,0.005619348195665353
471,2018-06-29 09:31:00,4985.277,5146.291,5166.04,4962.373,17218.0,17557091520.0,-0.01761482201453432,-0.04756163225126611,-0.002016792287882653,14.8691313,42.78165977,-1.883325715738414,-0.552572367378808,0.0021983240218093913
472,2018-07-02 09:31:00,5140.973,5055.64,5183.462,4994.624,16936.0,17358825120.0,0.009145034060969424,-0.0027719536992349392,0.016678007136583954,15.68582795,38.03356278,-1.8444977967457428,-0.8874693347022993,0.0031868064876300886
473,2018-07-03 09:31:00,5068.686,5101.874,5138.371,4950.4079999999985,18763.0,19060890480.0,-0.012112020014606371,-0.007316919233991259,0.004551856827510825,17.91964477,41.74334859,-1.7382962364339345,-0.6258074478863096,0.0024144848116283875
474,2018-07-04 09:31:00,5094.58,5040.08,5108.499,5000.287,15692.0,15936144520.0,-0.03274590879509857,-0.016520967921144075,0.010464318026697986,19.30521941,38.29601534,-1.6724223530523634,-0.8689577991133249,0.0031321678072880185
